Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Location_0,Location_1,Location_2,Location_3,Location_4,WindGustDir_0,WindGustDir_1,WindGustDir_2,WindGustDir_3,WindGustDir_4,WindDir9am_0,WindDir9am_1,WindDir9am_2,WindDir9am_3,WindDir9am_4,WindDir3pm_0,WindDir3pm_1,WindDir3pm_2,WindDir3pm_3,WindDir3pm_4
10,3,18.5,29.6,9.2,7.6,6.0,39.0,13.0,6.0,86.0,43.0,1016.1,1013.3,5.0,6.0,20.0,28.8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0
11,4,17.1,28.7,0.0,6.6,5.5,43.0,15.0,15.0,45.0,32.0,1021.2,1016.9,7.0,7.0,20.1,26.7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1
12,4,16.5,20.6,14.4,6.0,0.0,30.0,7.0,9.0,97.0,76.0,1021.3,1019.3,7.0,7.0,16.9,19.9,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
13,4,16.0,24.4,2.4,0.2,4.7,31.0,4.0,15.0,94.0,63.0,1023.1,1020.2,7.0,5.0,17.6,24.0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0
14,5,12.8,14.7,7.6,4.6,0.0,41.0,20.0,17.0,96.0,91.0,1018.7,1015.6,8.0,8.0,13.9,13.7,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
15,5,12.5,15.6,17.6,0.0,0.0,52.0,20.0,26.0,96.0,91.0,1016.1,1014.9,8.0,8.0,13.1,13.2,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1
16,5,13.0,21.3,1.0,3.8,2.8,26.0,13.0,2.0,87.0,63.0,1020.8,1018.5,7.0,7.0,13.9,19.9,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
17,5,10.7,15.6,0.0,2.6,0.6,43.0,19.0,13.0,76.0,63.0,1027.7,1025.2,8.0,8.0,11.6,14.8,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1
18,6,11.3,13.0,10.0,1.8,0.0,43.0,24.0,20.0,95.0,95.0,1026.5,1023.8,8.0,8.0,11.4,11.9,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1
19,6,11.1,13.9,12.0,0.0,0.0,30.0,15.0,13.0,97.0,97.0,1023.8,1021.6,8.0,8.0,12.6,13.6,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1
20,6,6.9,16.7,0.0,1.6,4.1,28.0,17.0,9.0,72.0,92.0,1014.4,1011.2,5.0,7.0,11.5,11.9,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
21,6,11.7,20.1,0.0,2.0,3.1,31.0,17.0,15.0,78.0,55.0,1019.6,1016.6,7.0,6.0,13.6,18.9,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0
22,6,7.8,12.2,0.2,2.2,0.1,28.0,6.0,17.0,81.0,95.0,1010.3,1006.6,7.0,7.0,9.3,11.6,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0
23,6,9.2,14.6,38.8,0.8,0.8,20.0,11.0,6.0,96.0,94.0,1006.7,1005.6,7.0,7.0,11.0,12.3,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1
24,7,6.3,12.0,5.8,2.0,2.5,22.0,6.0,11.0,98.0,92.0,1008.9,1009.3,8.0,7.0,8.1,9.6,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1
25,7,12.2,17.4,0.0,4.2,1.7,43.0,13.0,11.0,61.0,90.0,1012.0,1010.2,6.0,8.0,16.5,14.8,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1
26,7,8.9,12.2,0.8,2.4,1.2,24.0,7.0,11.0,91.0,77.0,1018.1,1013.5,8.0,7.0,9.1,11.4,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0
27,9,15.7,31.3,0.0,6.2,3.5,50.0,24.0,11.0,21.0,25.0,1013.4,1013.9,5.0,8.0,24.7,25.9,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
28,10,9.8,16.1,6.0,6.8,0.1,57.0,11.0,28.0,95.0,94.0,1015.9,1014.0,8.0,8.0,12.0,15.0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1
29,11,17.6,19.6,0.2,10.0,0.2,43.0,9.0,13.0,64.0,79.0,1018.3,1018.5,8.0,8.0,18.3,14.8,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0
30,11,21.4,28.1,0.6,12.6,4.6,44.0,7.0,17.0,73.0,65.0,1011.5,1011.3,7.0,7.0,24.0,23.7,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0
31,12,26.5,41.8,0.0,15.2,11.1,67.0,31.0,22.0,20.0,14.0,1013.0,1009.3,1.0,5.0,34.4,38.5,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1
32,12,27.3,39.6,0.0,17.2,5.1,57.0,31.0,22.0,36.0,25.0,1008.5,1004.5,7.0,7.0,31.3,38.7,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
33,12,19.4,24.7,17.2,14.2,0.0,33.0,7.0,7.0,97.0,84.0,1007.7,1006.9,8.0,8.0,20.4,23.1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
34,12,20.3,25.4,7.2,12.4,3.4,31.0,13.0,15.0,69.0,73.0,1010.7,1009.7,7.0,7.0,21.5,24.4,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0
35,12,21.5,27.2,0.0,10.6,0.5,46.0,22.0,26.0,71.0,50.0,1014.7,1012.6,7.0,7.0,23.5,26.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0
36,1,19.3,26.4,1.6,4.0,2.2,30.0,13.0,19.0,96.0,86.0,1011.1,1008.9,8.0,8.0,21.3,23.8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
37,1,22.9,34.7,0.0,10.0,7.4,85.0,24.0,31.0,58.0,84.0,1014.3,1013.8,2.0,7.0,28.2,21.6,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
38,2,22.7,29.9,0.0,13.2,0.8,56.0,24.0,24.0,59.0,87.0,1008.0,1005.9,7.0,8.0,24.0,22.2,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1
39,2,19.2,29.6,36.0,4.6,2.3,57.0,6.0,19.0,99.0,53.0,1006.9,1003.8,8.0,7.0,19.8,29.3,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1
40,2,19.8,25.3,0.0,4.1,6.4,37.0,11.0,17.0,83.0,91.0,1012.1,1011.4,7.0,7.0,20.5,22.5,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1
41,2,22.7,30.4,0.0,5.0,4.2,35.0,13.0,6.0,80.0,76.0,1018.1,1016.2,7.0,7.0,24.5,25.9,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1
42,2,20.1,23.6,22.4,5.6,0.0,24.0,9.0,9.0,97.0,92.0,1010.0,1007.7,8.0,8.0,21.4,22.5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
43,3,15.8,30.4,0.0,8.0,6.3,39.0,22.0,20.0,59.0,30.0,1013.7,1010.5,1.0,5.0,19.0,29.4,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0
44,3,18.4,22.5,2.6,7.0,1.8,43.0,20.0,24.0,86.0,88.0,1009.8,1007.2,8.0,8.0,18.9,20.8,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
45,3,18.0,27.9,12.8,0.6,3.7,33.0,19.0,17.0,86.0,66.0,1005.6,1004.4,7.0,7.0,22.0,26.3,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
46,3,23.3,32.4,0.0,8.4,2.0,50.0,9.0,7.0,51.0,33.0,1015.9,1014.2,7.0,8.0,25.4,29.9,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
47,3,18.8,25.8,8.4,5.4,5.1,28.0,6.0,6.0,94.0,74.0,1018.3,1016.7,7.0,7.0,19.4,23.5,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
48,4,15.0,28.5,0.0,8.4,9.4,35.0,19.0,20.0,51.0,24.0,1017.7,1013.5,1.0,3.0,19.9,28.2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
49,4,17.1,20.9,12.4,8.0,0.4,44.0,15.0,17.0,98.0,95.0,1015.1,1013.8,7.0,8.0,17.9,18.3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0
50,4,17.7,28.1,10.2,0.2,4.5,44.0,17.0,15.0,89.0,66.0,1013.8,1012.1,7.0,7.0,20.7,28.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1
51,4,18.0,30.3,0.0,5.8,1.5,46.0,20.0,20.0,49.0,30.0,1016.3,1011.8,7.0,7.0,23.7,29.3,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1
52,5,14.8,28.7,0.0,5.2,9.7,41.0,19.0,15.0,48.0,24.0,1019.9,1014.8,2.0,4.0,20.7,27.1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1
53,5,12.4,16.7,0.4,3.8,0.1,37.0,13.0,11.0,58.0,96.0,1014.6,1010.9,7.0,8.0,14.7,12.6,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1
54,5,12.2,20.4,9.2,0.4,2.6,50.0,7.0,11.0,99.0,84.0,1008.1,1002.4,8.0,8.0,14.4,17.3,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0
55,5,12.1,18.6,0.0,2.4,1.5,31.0,11.0,17.0,84.0,57.0,1017.5,1012.2,7.0,7.0,14.3,17.6,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0
56,5,11.7,15.3,3.6,2.6,1.4,48.0,15.0,20.0,85.0,69.0,1007.7,1006.5,8.0,7.0,12.2,14.5,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0
57,6,8.3,18.7,0.2,0.4,4.3,19.0,9.0,6.0,91.0,66.0,1019.1,1016.9,6.0,7.0,11.8,16.9,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0
58,6,8.3,19.4,0.0,2.6,3.2,35.0,15.0,17.0,68.0,47.0,1026.4,1021.5,7.0,7.0,11.2,18.8,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0
59,6,11.2,19.3,5.6,3.2,4.2,41.0,7.0,20.0,97.0,54.0,1018.6,1015.3,8.0,1.0,12.2,18.5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
60,6,10.0,22.0,0.0,3.0,7.7,39.0,20.0,19.0,73.0,52.0,1022.3,1019.0,1.0,6.0,13.7,20.8,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1
61,7,7.4,9.4,1.0,2.2,0.2,35.0,13.0,11.0,96.0,95.0,1027.1,1024.9,8.0,8.0,7.7,8.2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1
62,7,11.7,17.4,0.6,2.0,0.0,41.0,17.0,15.0,96.0,98.0,1015.9,1012.1,8.0,8.0,15.3,15.5,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0
63,1,22.8,24.7,0.0,8.0,0.2,56.0,35.0,15.0,68.0,67.0,1010.9,1011.4,7.0,7.0,23.4,24.4,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0
64,1,22.7,29.2,0.0,6.4,1.9,44.0,9.0,20.0,70.0,71.0,1009.4,1008.8,7.0,8.0,25.8,26.4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0
65,1,19.5,21.4,7.8,4.2,0.2,56.0,26.0,28.0,85.0,73.0,1015.7,1015.9,8.0,8.0,20.0,21.1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0
66,1,21.0,27.5,0.0,7.8,10.8,39.0,6.0,15.0,68.0,74.0,1011.0,1008.8,3.0,5.0,26.3,26.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
67,1,19.0,21.3,6.4,4.8,0.3,50.0,19.0,30.0,93.0,84.0,1016.6,1017.8,8.0,8.0,19.1,19.3,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0
68,1,22.1,25.6,0.0,7.0,0.0,41.0,19.0,17.0,94.0,76.0,1014.9,1015.3,8.0,8.0,22.3,24.4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0
69,1,20.1,27.1,6.0,9.2,8.0,31.0,20.0,15.0,87.0,76.0,1018.2,1017.0,7.0,3.0,23.0,26.1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1
70,1,20.8,27.7,3.0,4.6,10.6,30.0,13.0,15.0,92.0,72.0,1018.9,1017.8,6.0,3.0,23.2,26.5,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
71,2,20.0,29.6,0.0,7.0,12.2,30.0,7.0,19.0,61.0,62.0,1015.9,1015.1,5.0,5.0,26.6,27.2,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0
72,2,21.6,27.6,0.0,6.0,3.3,48.0,24.0,31.0,73.0,66.0,1006.8,1006.1,8.0,7.0,23.6,25.8,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
73,2,18.8,23.7,16.6,5.8,0.4,65.0,20.0,20.0,88.0,89.0,1020.9,1019.5,7.0,7.0,19.6,20.1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0
74,2,18.6,22.5,30.0,3.2,0.0,59.0,9.0,24.0,90.0,83.0,1017.8,1012.6,8.0,8.0,18.6,20.8,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0
75,2,18.3,24.8,38.6,3.4,6.2,57.0,28.0,31.0,95.0,74.0,1007.2,1006.7,8.0,7.0,19.2,23.3,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
76,2,18.9,26.1,1.6,2.0,8.6,43.0,13.0,13.0,72.0,78.0,1008.5,1006.2,2.0,6.0,23.8,24.4,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1
77,2,19.0,27.8,0.6,3.4,11.1,41.0,9.0,15.0,75.0,71.0,1011.9,1010.6,3.0,2.0,24.5,26.6,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1
78,2,21.3,28.7,0.0,7.2,6.8,44.0,11.0,28.0,66.0,73.0,1015.8,1013.5,3.0,6.0,26.2,25.4,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0
79,2,18.8,26.1,2.4,4.8,4.5,50.0,17.0,31.0,95.0,60.0,1017.5,1016.0,7.0,3.0,19.8,24.3,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
80,3,21.4,26.5,0.0,5.8,2.2,33.0,20.0,22.0,72.0,70.0,1014.7,1013.9,6.0,7.0,24.3,25.1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
81,3,21.1,30.4,0.6,1.8,5.0,48.0,20.0,31.0,68.0,80.0,1012.0,1007.7,3.0,7.0,26.5,26.6,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0
82,3,19.1,25.7,0.2,5.0,5.8,43.0,15.0,17.0,78.0,75.0,1018.7,1017.6,4.0,8.0,23.5,23.6,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0
83,3,19.8,27.1,24.4,8.6,9.0,35.0,17.0,22.0,83.0,60.0,1018.9,1017.9,6.0,6.0,22.0,26.0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1
84,3,18.7,25.6,6.8,3.8,3.4,33.0,17.0,13.0,85.0,90.0,1020.7,1020.1,4.0,7.0,21.0,20.9,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0
85,3,18.2,28.2,0.0,6.8,9.0,50.0,13.0,35.0,67.0,68.0,1016.3,1012.8,1.0,1.0,24.0,25.9,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0
86,3,19.5,24.9,0.8,4.2,2.8,31.0,13.0,7.0,67.0,77.0,1010.3,1008.6,3.0,7.0,23.4,21.2,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1
87,3,17.0,25.9,0.4,3.2,9.0,33.0,13.0,13.0,78.0,63.0,1017.0,1015.1,7.0,5.0,20.6,25.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
88,3,16.6,26.8,0.0,4.6,6.4,52.0,13.0,24.0,72.0,92.0,1020.2,1019.7,3.0,8.0,22.3,20.7,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
89,3,17.5,25.1,0.2,3.6,7.9,43.0,20.0,19.0,67.0,73.0,1021.4,1019.4,5.0,5.0,21.3,23.7,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1
90,3,18.9,22.9,11.4,4.8,0.3,69.0,26.0,24.0,89.0,89.0,1017.7,1015.2,8.0,8.0,19.7,21.3,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
91,4,20.9,25.6,10.4,3.0,3.5,43.0,20.0,13.0,84.0,71.0,1019.8,1018.6,7.0,7.0,23.1,24.4,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1
92,4,19.9,25.3,7.4,3.4,3.4,35.0,13.0,9.0,92.0,90.0,1020.7,1017.3,7.0,8.0,20.7,22.8,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0
93,4,19.7,25.0,15.6,1.2,1.9,41.0,9.0,11.0,90.0,81.0,1016.4,1015.1,7.0,7.0,22.7,24.2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1
94,4,19.4,23.3,17.4,3.2,1.1,35.0,22.0,20.0,95.0,95.0,1017.5,1014.8,8.0,7.0,19.6,19.8,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
95,4,17.5,25.0,9.4,1.2,7.8,44.0,15.0,30.0,70.0,73.0,1016.9,1015.5,3.0,5.0,23.3,24.1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
96,4,17.9,23.6,38.0,4.4,3.4,31.0,13.0,7.0,82.0,88.0,1022.7,1021.5,7.0,7.0,20.2,20.0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
97,4,17.0,23.4,15.6,4.2,8.8,37.0,24.0,20.0,63.0,54.0,1025.0,1022.4,3.0,1.0,20.5,23.1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0
98,4,16.1,22.3,9.2,3.0,1.8,31.0,19.0,7.0,89.0,74.0,1024.4,1022.0,7.0,5.0,18.1,21.0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
99,4,16.1,24.8,0.0,3.2,3.1,31.0,9.0,13.0,73.0,71.0,1025.7,1023.5,7.0,8.0,22.8,23.1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0
100,4,18.4,24.2,4.0,2.6,1.1,28.0,9.0,15.0,89.0,77.0,1023.9,1020.8,7.0,7.0,20.9,23.5,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1
101,4,18.7,21.3,9.2,1.4,0.0,24.0,7.0,11.0,95.0,95.0,1020.8,1018.6,8.0,8.0,20.0,20.0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
102,4,13.8,24.0,0.2,4.2,9.0,56.0,22.0,26.0,50.0,58.0,1016.9,1015.0,3.0,6.0,21.1,22.0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1
103,4,15.9,23.9,1.2,4.2,9.5,61.0,33.0,41.0,60.0,50.0,1014.0,1011.4,3.0,4.0,21.1,22.9,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1
104,4,16.5,21.4,3.4,4.0,0.5,57.0,35.0,35.0,61.0,90.0,1013.3,1012.9,5.0,8.0,20.8,16.4,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1
105,4,15.1,21.8,59.0,8.4,1.0,72.0,24.0,39.0,94.0,63.0,1017.1,1015.5,8.0,7.0,16.7,21.3,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
106,4,16.3,21.7,11.2,2.4,4.3,41.0,22.0,31.0,86.0,71.0,1020.1,1017.4,8.0,7.0,17.1,20.4,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1
107,5,13.2,22.3,0.0,4.8,8.8,44.0,17.0,28.0,69.0,57.0,1025.2,1023.6,3.0,5.0,18.2,21.5,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0
108,5,14.8,21.9,4.0,3.8,8.9,31.0,15.0,15.0,74.0,53.0,1027.2,1025.3,5.0,4.0,17.4,21.3,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
109,5,12.9,22.5,1.4,1.6,4.5,39.0,19.0,26.0,77.0,59.0,1028.3,1025.7,6.0,7.0,16.9,20.7,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0
110,5,15.1,20.3,20.2,5.4,2.6,33.0,19.0,11.0,91.0,84.0,1027.7,1023.9,7.0,6.0,16.4,18.2,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
111,5,11.2,22.5,0.0,3.2,9.1,52.0,28.0,37.0,55.0,69.0,1020.5,1019.8,2.0,6.0,18.9,19.4,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
112,5,11.7,19.8,0.2,2.2,2.2,41.0,22.0,15.0,69.0,84.0,1022.6,1020.7,6.0,7.0,17.1,17.6,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
113,5,15.4,19.9,4.6,7.0,0.4,50.0,20.0,17.0,80.0,68.0,1022.5,1018.9,8.0,7.0,17.3,18.7,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
114,5,16.4,20.5,1.6,2.0,0.0,61.0,35.0,28.0,63.0,55.0,1018.2,1015.6,8.0,8.0,19.5,20.3,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1
115,5,15.4,19.5,42.8,4.0,0.0,76.0,41.0,35.0,80.0,82.0,1015.7,1013.6,8.0,8.0,18.4,18.1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0
116,5,17.1,20.5,19.6,4.8,0.0,69.0,39.0,41.0,82.0,69.0,1017.3,1016.8,8.0,8.0,18.8,20.3,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1
